title,author,rating,description,genre,genres,cover_id,first_publish_year,edition_count
Alice's Adventures in Wonderland,Lewis Carroll,4.0,"Alice's Adventures in Wonderland (commonly Alice in Wonderland) is an 1865 English children's novel by Lewis Carroll. A young girl named Alice falls through a rabbit hole into a fantasy world of anthropomorphic creatures. It is seen as an example of the literary nonsense genre.

One of the best-known works of Victorian literature, its narrative, structure, characters and imagery have had huge influence on popular culture and literature, especially in the fantasy genre.",JUVENILE FICTION,"['JUVENILE FICTION', 'classics', 'adventure stories', 'adventure travel', 'animals', 'anthropomorphism', 'children', ""children's fiction"", ""children's literature"", ""children's stories"", 'classic literature', 'coloring books', 'croquet', 'curiosidad', 'curiosity', 'english', 'english language', 'english literature', 'fairy tales', 'fantasy', 'fantasy fiction', 'fantasy  magic', 'fantasía', 'ficción juvenil', 'fiction', 'friendship', 'girls', 'girls, fiction', 'hookahs', 'humor', 'humorous stories', 'illustrations', 'imaginary places', 'juvenile literature', 'legends', 'literary nonsense', 'logic', 'lugares imaginarios', 'mythical animals', 'niñas', 'nonsense verses', 'novela', 'novela fantástica', 'novela juvenil', 'picture books', 'playing cards', 'rabbits', 'readers', 'reading materials', 'short novel', 'tea', 'texts', 'Fantastique', 'Enfants', 'Spanish language', 'nyt:chapter-books=2010-02-21', 'Literatura infanto-juvenil', 'Literatura inglesa', 'Crocheting', 'Fiction, general', 'Imagination', 'Science fiction', 'Irish literature', 'Swahili language', 'Xiao shuo', 'Fantasi a', 'Tong hua', 'Suo xie', 'Chinese language', 'Ying yu', 'Decision making', 'Illusion (Philosophy)', 'Innocence (Psychology)', 'Dreams', 'Theft', 'Courts', 'Curiosité', 'Morale pratique', 'Lieux imaginaires', 'Illusion (Philosophie)', 'Rêves', 'Croquet (Jeu)', 'Vol (Droit)', 'Tribunaux', 'Literature, collections', 'English fiction', 'Nonsense literature', 'Fantasmes', 'Dinosaurier', 'Utdöda djur', 'Urtidsdjur', 'Forntiden', 'Geologi', 'Evolution', 'Jorden', 'Fantastiske fortællinger', 'History', 'North', 'Rural-urban migration', 'Russian language', 'Shorthand', 'Gregg', 'Roman anglais', 'Erwachsenwerden', 'Kultur', 'Logik', 'Mädchen', 'Philosophie', 'Reise', 'Sprache', 'Traumland']",10527843.0,1865,3546
The Awakening,Kate Chopin,4.0,"The Awakening is a novel by Kate Chopin, first published in 1899. Set in New Orleans and on the Louisiana Gulf coast at the end of the 19th century, the plot centers on Edna Pontellier and her struggle between her increasingly unorthodox views on femininity and motherhood with the prevailing social attitudes of the turn-of-the-century American South. It is one of the earliest American novels that focuses on women's issues without condescension. It is also widely seen as a landmark work of early feminism, generating a mixed reaction from contemporary readers and critics.",Adultery,"['Adultery', 'American literature', 'Classic Literature', 'feminist fiction', 'feminist literature', 'Fiction', 'History', 'Interpersonal attraction', 'Interpersonal relations', 'literary fiction', 'Louisiana Creoles', 'Man-woman relationships', 'Marriage', 'Married people', 'Married women', 'Modern Literature', 'Psychological fiction', 'Psychology', 'Romance fiction', 'Self-actualization (Psychology)', 'Short Stories', 'Social conditions', 'Women', 'Fiction, psychological', 'Louisiana, fiction', 'Femmes', 'Romans, nouvelles']",8750241.0,1899,346
The King in Yellow,Robert W. Chambers,4.0,"An important early classic of fantasy/sci-fi.  [Main story:] The ill effects of a soul-destroying play, to read which brings doom.  A discovery that changes living flesh to stone.  The mad adherents of a cult of evil powers from beyond. A lost traveler is suddenly 400 years in the past.
Great writing; powerful emotions. Chambers wrote mainly conventional stuff, but not here.",Fiction,"['Fiction', 'Fiction, horror', 'American fiction', 'Cuentos estadounidenses', 'Fiction, general', 'American literature', 'Literature']",4752788.0,1895,430
The Jewel of Seven Stars,Bram Stoker,4.0,"This dark fantasy Bram Stoker book is full of suspense.  Set in ancient Egypt, it will keep you on the edge of your seat with a twist Please Note:  This book is easy to read in true text, not scanned images that can sometimes be difficult to decipher.  This eBook has bookmarks at chapter headings and is printable up to two full copies per year.at the end.  A must for Bram Stoker fans.",Mummies,"['Mummies', 'Horror', 'Fiction', 'Archaeologists', 'Classic Literature', 'Thriller', 'Fiction, horror', 'Archaeologists, fiction', 'History', 'Gems', 'Egyptian Magic', 'Antiquities', 'Antiquités', 'Romans, nouvelles']",2760301.0,1902,653
Women in Love,D. H. Lawrence,4.0,"Dark, but filled with bright genius, Women in Love is a prophetic masterpiece steeped in eroticism, filled with perceptions about sexual power and obsession that have proven to be timeless and true.",Romance,"['Romance', 'Classic Literature', 'Male friendship', 'Fiction', 'Social classes', 'Social conditions', 'Interpersonal relations', 'open_syllabus_project', 'Sisters', 'Coal miners', 'Women', 'England, fiction', 'Sisters, fiction', 'Fiction, psychological', 'Friendship, fiction', 'Women teachers', 'Fiction, general', 'Sexual behavior', 'English fiction', 'English literature', 'Classics']",13140934.0,1877,553
The Hobbit,J.R.R. Tolkien,4.0,"The Hobbit is a tale of high adventure, undertaken by a company of dwarves in search of dragon-guarded gold. A reluctant partner in this perilous quest is Bilbo Baggins, a comfort-loving unambitious hobbit, who surprises even himself by his resourcefulness and skill as a burglar.

Encounters with trolls, goblins, dwarves, elves, and giant spiders, conversations with the dragon, Smaug, and a rather unwilling presence at the Battle of Five Armies are just some of the adventures that befall Bilbo.

Bilbo Baggins has taken his place among the ranks of the immortals of children’s fiction. Written by Professor Tolkien for his children, The Hobbit met with instant critical acclaim when published.",Arkenstone,"['Arkenstone', 'invisibility', 'thrushes', 'eagles', 'hobbits', 'wizards', 'dragons', 'dwarves', 'elves', 'men', 'trolls', 'goblins', 'giant spiders', 'juvenile fantasy', 'Fantasy fiction', 'Juvenile fiction', 'Fiction', 'Fantasy', 'Classics', 'General', 'Media Tie-In', ""children's books"", 'juvenile works', 'Specimens', 'juvenile literature', 'Pictorial works', 'Magic', 'Quests (Expeditions)', 'Graphic novels', ""Children's stories"", 'Ficción', 'Dwarfs', ""Children's fiction"", 'Characters', 'Motion pictures', 'English literature', 'Courage', 'Tłumaczenia polskie', 'Novela Inglesa', 'Untranslated', 'Romans, nouvelles', 'Novela fantástica', 'Magiciens', 'Schultheater', 'English fiction', 'Adventure stories']",14627509.0,1937,458
The Man Who Was Thursday,Gilbert Keith Chesterton,4.0,"Can you trust yourself when you don't know who you are? Syme uses his new acquaintance to go undercover in Europe's Central Anarchist Council and infiltrate their deadly mission, even managing to have himself voted to the position of 'Thursday'. In a park in London, secret policeman Gabriel Syme strikes up a conversation with an anarchist. Sworn to do his duty,When Syme discovers another undercover policeman on the Council, however, he starts to question his role in their operations. And as a desperate chase across Europe begins, his confusion grows, as well as his confidence in his ability to outwit his enemies.But he has still to face the greatest terror that the Council has - its leader: a man named Sunday, whose true nature is worse than Syme could ever have imagined ...",Anarchists,"['Anarchists', 'Police', 'Fiction', 'Novela fantástica', 'Ficción', 'Classic Literature', 'Alegorías', 'Anarquistas', 'England, fiction', 'Fiction, crime', 'London (England)', 'Religion', 'English literature', 'Conspiracies', 'Anarchism', 'Detective Story', 'Mystery', 'Crime Novel', 'Drama', 'Novela inglesa', 'Christianity', 'Anarchists--fiction', '823/.912']",8242857.0,1908,496
Hans Andersen's Fairy Tales,Hans Christian Andersen,4.0,"Sixteen tales including ""Little Claus and Big Claus,"" ""Father's Always Right,"" and ""The Goblin and the Grocer.""",Miniature books,"['Miniature books', 'Juvenile literature', 'Specimens', 'Basic English', 'Folklore', 'Denmark', 'open_syllabus_project', ""Children's stories"", 'Short stories', 'Juvenile fiction', 'Texts', 'Fairy tales', ""Children's fiction"", 'Denmark, fiction']",320591.0,1846,298
Animal Farm,George Orwell,4.0,"Animal Farm is a brilliant political satire and a powerful and affecting story of revolutions and idealism, power and corruption. 'All animals are equal. But some animals are more equal than others.' Mr Jones of Manor Farm is so lazy and drunken that one day he forgets to feed his livestock. The ensuing rebellion under the leadership of the pigs Napoleon and Snowball leads to the animals taking over the farm. Vowing to eliminate the terrible inequities of the farmyard, the renamed Animal Farm is organised to benefit all who walk on four legs. But as time passes, the ideals of the rebellion are corrupted, then forgotten. And something new and unexpected emerges..",political satire,"['political satire', 'classic', 'animal drama', 'Fiction, political', 'Fiction, satire', 'English literature', 'Fiction', 'Literature', 'Animals, fiction', 'Behavior, fiction', 'Totalitarianism', 'Domestic animals', 'Français (langue)', 'Roman', 'Animales domésticos', 'Ficción', 'Totalitarismo', ""Children's fiction"", 'Animals', 'Farms', 'Livestock', 'Political corruption', 'Englischunterricht', 'Skönlitteratur', 'Fiction, general', 'Political science', 'Fables', 'Satire', 'Political fiction', 'Politique-fiction', 'Animaux domestiques', 'Romans, nouvelles', 'Totalitarisme', 'In literature', 'Allegories', 'Juvenile fiction', 'Englisch', 'Regensburg']",11261770.0,1945,412
Anne of Avonlea,Lucy Maud Montgomery,4.0,"The second story in the ever-popular Anne of Green Gables series.Now Anne is half past sixteen and she's ready to begin a new life teaching in her old school. She's as feisty as ever and is fiercely determined to inspire young hearts with her own ambitions. But some of her pupils are as boisterous and high-spirited as Anne, and so life in her Avonlea classroom becomes a lesson in discovery and adventure . . .",Fiction,"['Fiction', 'History', 'Juvenile fiction', 'Orphans', 'Teachers', 'Islands', ""Children's stories"", 'Teenage girls', 'Friendship', 'Rural schools', 'Country life', 'Juvenile Literature', 'Classic Literature', 'Adolescence', 'Young women', 'Redheads', 'Women teachers', ""Children's fiction"", 'Orphans, fiction', 'Teachers, fiction', 'Teaching', 'Canada, fiction', 'Fiction (Canadian)', 'Fiction, general']",14638062.0,1909,813
The Invisible Man,H. G. Wells,4.0,"This book is the story of Griffin, a scientist who creates a serum to render himself invisible, and his descent into madness that follows.",Ciencia-ficción,"['Ciencia-ficción', 'Classic Literature', 'Fiction', 'Mentally ill', 'Science fiction', 'Scientists', 'Experiments', 'Adaptations', 'Time travel', 'England, fiction', 'Scientists, fiction', ""Children's fiction"", 'English literature', 'Juvenile fiction', 'Science', 'Animal experimentation', 'English language', 'French', 'Korean', 'German', 'Fiction, general', 'Spanish language', 'Readers', 'Horror tales', 'Psychological fiction']",6419199.0,0,563
Northern Lights,Philip Pullman,4.0,"In a landmark epic of fantasy and storytelling, Philip Pullman invites readers into a world as convincing and thoroughly realized as Narnia, Earthsea, or Redwall. Here lives an orphaned ward named Lyra Belacqua, whose carefree life among the scholars at Oxford's Jordan College is shattered by the arrival of two powerful visitors. First, her fearsome uncle, Lord Asriel, appears with evidence of mystery and danger in the far North, including photographs of a mysterious celestial phenomenon called Dust and the dim outline of a city suspended in the Aurora Borealis that he suspects is part of an alternate universe. He leaves Lyra in the care of Mrs. Coulter, an enigmatic scholar and explorer who offers to give Lyra the attention her uncle has long refused her. In this multilayered narrative, however, nothing is as it seems. Lyra sets out for the top of the world in search of her kidnapped playmate, Roger, bearing a rare truth-telling instrument, the compass of the title. All around her children are disappearing—victims of so-called ""Gobblers""—and being used as subjects in terrible experiments that separate humans from their daemons, creatures that reflect each person's inner being. And somehow, both Lord Asriel and Mrs. Coulter are involved.",Political theology,"['Political theology', 'Polar bears', 'Kidnapping', 'Adventure stories', 'Juvenile fiction', 'Fantasy', 'Experiments', 'Witches', 'Missing persons', 'Fiction', 'Children', 'Experimentos', 'Ficción juvenil', 'Imaginary places', 'Lugares imaginarios', 'Magia', 'Magic', 'Niños', 'Novela fantástica', 'Novela juvenil', 'Personas desaparecidas', 'Quests (Expeditions)', 'Secuestro', 'Artic regions', 'Fantasy fiction', 'Arctic Regions', 'skjønnlitteratur', 'adventure', 'Amitie', 'Magie', 'Personnes disparues', 'Merveilleux', 'Romans', 'Enlevement', ""Children's fiction"", 'Orphans', 'Uncles', 'Science', 'Demonology', 'Geographical myths', 'Mythical Animals', 'Carnegie Medal', 'General', 'Teens', 'Teenage fiction', 'Survival, fiction', 'The Marvelous', 'Amitié', 'Dämon', 'Entführung', 'Imaginärer Schauplatz', 'Kind', 'Menschenversuch', 'Mädchen', 'Zigeuner', 'Teachers, fiction', 'Familiars (Spirits)']",8747028.0,1995,142
Treasure Island,Robert Louis Stevenson,4.0,"Traditionally considered a coming-of-age story, Treasure Island is an adventure tale known for its atmosphere, characters and action, and also as a wry commentary on the ambiguity of morality — as seen in Long John Silver — unusual for children's literature then and now. It is one of the most frequently dramatized of all novels. The influence of Treasure Island on popular perceptions of pirates is enormous, including treasure maps marked with an ""X"", schooners, the Black Spot, tropical islands, and one-legged seamen carrying parrots on their shoulders",Fiction,"['Fiction', 'Treasure-trove', 'Pirates', 'Treasure troves', ""Children's fiction"", 'Pirates, fiction', 'Literature', 'Buried treasure', 'Juvenile fiction', 'Adventure stories', 'History', 'Classic Literature', 'Juvenile literature', 'Boys', 'Treasure maps', 'Sea stories', 'Piratas', 'Tesoros ocultos', 'Ficción', 'Treasuretrove', 'Adventure fiction', 'England, fiction', 'New Words', 'Remedial teaching', 'Reading interests', 'Reading', 'Reading (Secondary)', 'Report writing', 'English language', 'Readers', 'Fantasy', 'AR 8.0.', 'Adaptations', 'Graphic novels', 'Teenage boys', 'Kidnapping', 'Disinheritance', 'Shipwrecks', 'Dictionaries', 'Spanish', 'French', 'German', 'Classic Novel', 'buccaneers', 'buried gold', 'joy', 'fear', 'suspense', 'Classics', 'Roman écossais', 'Reading comprehension', 'Problems, exercises', 'English fiction', 'Novela', 'Novela inglesa', 'Ficción juvenil', 'Spanish language', 'Literary Criticism', 'Nonfiction', 'Thriller', 'Novela juvenil', 'Aventuras', 'Trésors', 'Romans, nouvelles', 'Recherche', 'Tesoros enterrado', 'Buried treasure--Fiction', 'Pirates--Fiction', 'Ocean travel', 'Mutiny', 'Male authors', 'Scottish authors', 'Specimens', 'Language readers', 'Historical fiction', 'English Literature', 'English', ""Children's literature"", 'Treasure', 'Littérature anglaise', 'Treasure hunts', 'Angol irodalom', 'Regény']",13859660.0,1880,1984
Five Children and It,Edith Nesbit,4.0,"Haven't you ever thought what you would wish for if you were granted three wishes? In Nesbit's delightful classic, five siblings find a creature that grants their wishes, but as the old saying goes: be careful what you wish for, it might come true...",Fiction,"['Fiction', 'Fairies', 'Wishes', 'History', 'Juvenile fiction', 'Fantasy', 'Fairy tales', 'Stories', 'England', 'Fantasy fiction', 'Amulets', ""Children's fiction"", 'Fairies, fiction', 'England, fiction', 'Children, fiction', 'Readers', 'Readers (Adult)', 'English language', 'Reading comprehension', 'Problems, exercises', 'Children', 'Fiction, general', 'Fées', 'Souhaits', 'Histoire', 'Family', 'Siblings, fiction', 'Ying yu', 'Han yu', 'Anglais (Langue)']",28174.0,1905,945
The Fellowship of the Ring,J.R.R. Tolkien,4.0,"One Ring to rule them all, One Ring to find them, One Ring to bring them all and in the darkness bind them.

“A unique, wholly realized other world, evoked from deep in the well of Time, massively detailed, absorbingly entertaining, profound in meaning.”—The New York Times

In ancient times the Rings of Power were crafted by the Elven-smiths, and Sauron, the Dark Lord, forged the One Ring, filling it with his own power so that he could rule all others. But the One Ring was taken from him, and though he sought it throughout Middle-earth, it remained lost to him. After many ages it fell into the hands of Bilbo Baggins, as told in The Hobbit. In a sleepy village in the Shire, young Frodo Baggins finds himself faced with an immense task, as his elderly cousin Bilbo entrusts the Ring to his care. Frodo must leave his home and make a perilous journey across Middle-earth to the Cracks of Doom, there to destroy the Ring and foil the Dark Lord in his evil purpose.",Elves,"['Elves', 'Dwarves', 'evil', 'fear', 'hope', 'Ficción', 'Fantastic fiction', 'Fiction', 'Fantasy', 'Fairy tales', 'Adventure stories', 'Fantasy fiction', 'Adventure fiction', 'English fiction', ""Children's fiction"", 'English literature', 'Roman', 'Français (langue)', 'Vol. 1.', 'Romans, nouvelles']",14627060.0,1954,296
The Two Towers,J.R.R. Tolkien,4.0,"The Lord of the Rings, J.R.R. Tolkien's three-volume epic, is set in the imaginary world of Middle-earth -- home to many strange beings, and most notably hobbits, a peace-loving ""little people,"" cheerful and shy. Since its original British publication in 1954-55, the saga has entranced readers of all ages. It is at once a classic myth and a modern fairy tale. Critic Michael Straight has hailed it as one of the ""very few works of genius in recent literature."" Middle-earth is a world receptive to poets, scholars, children, and all other people of good will. Donald Barr has described it as ""a scrubbed morning world, and a ringing nightmare world...especially sunlit, and shadowed by perils very fundamental, of a peculiarly uncompounded darkness."" The story of this world is one of high and heroic adventure. Barr compared it to Beowulf, C.S. Lewis to Orlando Furioso, W.H. Auden to The Thirty-nine Steps. In fact the saga is sui generis -- a triumph of imagination which springs to life within its own framework and on its own terms. - Jacket flap.

Frodo and the Companions of the Ring have been beset by danger during their quest to prevent the Ruling Ring from falling into the hands of the Dark Lord by destroying it in the Cracks of Doom. They have lost the wizard, Gandalf, in the battle with an evil spirit in the Mines of Moria; and at the Falls of Rauros, Boromir, seduced by the power of the Ring, tried to seize it by force. While Frodo and Sam made their escape the rest of the company were attacked by Orcs. Now they continue their journey alone down the great River Anduin – alone, that is, save for the mysterious creeping figure that follows wherever they go. J.R.R. Tolkien’s great work of imaginative fiction has been labelled both a heroic romance and a classic fantasy fiction. By turns comic and homely, epic and diabolic, the narrative moves through countless changes of scene and character in an imaginary world which is totally convincing in its detail.

----------
**Also contained in:**

 - [The Lord of the Rings][1]


  [1]: https://openlibrary.org/works/OL27448W/The_Lord_of_the_Rings",Ents,"['Ents', 'Orcs', 'hobbits', 'magic', 'Ficción', 'Fiction', 'Fantasy', 'Popular Carousel', 'English fiction', 'Fantasy fiction', 'Adventure fiction', 'Fantasmes', 'Roman fantastique', 'Epic fiction', 'Fantastic fiction', 'Science-fiction anglaise', 'Romans, nouvelles', 'Littérature britannique', 'Fantasy anglaise', 'Novela', 'Geographical myths', ""Children's fiction"", 'English literature', 'Quests (Expeditions)', 'Mythology', 'Wizards']",14627564.0,1954,277
The Subtle Knife,Philip Pullman,4.0,"As the boundaries between worlds begin to dissolve, Lyra and her daemon help Will Parry in his search for his father and for a powerful, magical knife.

She had asked: What is he? A friend or an enemy?

The alethiometer answered: He is a murderer.

When she saw the answer, she relaxed at once.

Lyra finds herself in a shimmering, haunted otherworld – Cittàgazze, where soul-eating Spectres stalk the streets and wingbeats of distant angels sound against the sky.

But she is not without allies: twelve-year-old Will Parry, fleeing for his life after taking another's, has also stumbled into this strange new realm.

On a perilous journey from world to world, Lyra and Will uncover a deadly secret: an object of extraordinary and devastating power.

And with every step, they move closer to an even greater threat – and the shattering truth of their own destiny.",Fantasy,"['Fantasy', 'Juvenile literature', 'Fantasy fiction', 'Juvenile fiction', 'Fiction', 'Kidnapping', 'Missing persons', 'Arctic regions', ""Children's fiction"", 'Romans', 'Personnes disparues', 'Enlèvement', 'Magic', 'Magia', 'Niños', 'Quests (Expeditions)', 'Experimentos', 'Novela fantástica', 'Lugares imaginarios', 'Personas desaparecidas', 'Secuestro', 'Imaginary places', 'Experiments', 'Ficción juvenil', 'Children', 'Classics', 'Audiobooks', 'Audio: Juvenile', 'JUV', 'JUV037000', ""Children's audiobooks"", 'Merveilleux', 'Roman fantastique', 'Magie', 'Univers parallèles', 'Novela', 'Chinese text']",12614549.0,1997,104
Dorothy and the Wizard in Oz,L. Frank Baum,4.0,"Dorothy and the Wizard in Oz is the fourth book in Baum's Oz series. The series chronicles the further adventures of Dorothy both in and out of Oz, as she deals with the characters, situations and desires which continue to spill over from her first fateful adventure.",Fairy tales,"['Fairy tales', 'Fiction', 'Fantasy', 'Classic Literature', 'Juvenile fiction', 'Fantasy fiction', ""Children's fiction"", 'California, fiction', 'Earthquakes, fiction', 'Wizards, fiction']",12648659.0,1908,622
The Return of the King,J.R.R. Tolkien,4.0,"THE RETURN OF THE KING, which brings to a close the great epic of war and adventure begun in The Fellowship of the Ring and continued in The Two Towers, is the third and final part of J. R. R. Tolkien's masterpiece, ""The Lord of the Rings.""

In these three books, which form one continuous narrative, Tolkien created the saga of the Hobbits of Middle-earth and the great War of the Rings. Praised by such writers and poets as W. H. Auden, Richard Hughes and C. S. Lewis, ""The Lord of the Rings"" - that special world of beauty and terror and meaning - holds a secure place among the books that will live.

----------
**Also contained in:**

 - [The Lord of the Rings][1]


  [1]: https://openlibrary.org/works/OL27448W/The_Lord_of_the_Rings",Elves,"['Elves', 'Hobbits', 'hope', 'fear', 'magic', 'Fiction', 'Fantasy', 'Juvenile fiction', 'Fantastic fiction', 'Textual Criticism', 'Adventure', 'Fantasy fiction', 'English literature', ""Children's fiction"", 'Quests (Expeditions)', 'Wizards', 'Roman', 'Français (langue)', 'Novela', 'Novela fantástica', 'Literatura inglesa', 'Novela inglesa', 'Powieści']",14627062.0,1950,271
The Silmarillion,J.R.R. Tolkien,4.0,"A number-one New York Times bestseller when it was originally published, The Silmarillion is the core of J.R.R. Tolkien's imaginative writing, a work whose origins stretch back to a time long before The Hobbit.",Fantasy fiction,"['Fantasy fiction', 'Short stories', 'Elves', 'Fiction', 'English literature', 'Engelse fiksie', 'fantasy', 'silmaril', 'English fiction']",14627042.0,1977,147
